"","","","","","","","","","","","","",""
"1","Model","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"249","Nissan Sentra","7,407","7,111","7,999","11,797","11,344","11,797","10,132","10,943","10,537","6,621","6,621","6,886"
"250","Nissan Titan","1,328","1,275","1,435","2,199","2,114","2,199","1,557","1,681","1,619","1,244","1,244","1,294"
"251","Nissan Versa","1,283","1,232","1,386","2,402","2,309","2,402","2,191","2,366","2,278","2,289","2,289","2,380"
"252","Polestar Polestar 1","20","19","21","3","3","4","0","0","0","4","4","4"
"253","Polestar Polestar 2","967","928","1,044","1,119","1,208","1,163","673","727","700","599","599","623"
"254","Porsche 718","324","311","350","389","374","389","309","333","321","329","328","341"
"255","Porsche 911","803","771","867","1,060","1,019","1,060","998","1,078","1,038","998","998","1,038"
"256","Porsche Cayenne","1,560","1,497","1,685","1,559","1,499","1,559","1,720","1,857","1,789","1,830","1,830","1,903"
"257","Porsche Macan","2,118","2,033","2,287","2,474","2,379","2,474","2,412","2,605","2,508","2,010","2,010","2,090"
"258","Porsche Panamera","320","307","345","346","332","346","372","402","387","342","342","356"
"259","Porsche Taycan","613","589","662","552","531","552","596","643","619","776","776","807"
"260","Ram Pickup","34,655","33,268","37,427","39,743","38,214","39,743","35,061","37,866","36,464","37,002","37,002","38,482"
"261","Ram ProMaster","5,820","5,588","6,286","6,821","6,558","6,821","7,194","7,770","7,482","7,014","7,014","7,295"
"262","Ram ProMaster City","1,868","1,793","2,017","1,389","1,336","1,389","814","880","847","182","182","190"
"263","Rivian EDV 500","0","0","0","54","52","54","64","69","67","66","66","68"
"264","Rivian EDV700","173","166","187","665","639","665","0","0","0","428","428","445"
"265","Rivian R1S","74","71","80","2,063","1,984","2,063","3,526","3,808","3,667","2,007","2,007","2,087"
"266","Rivian R1T","1,135","1,089","1,226","1,473","1,416","1,473","2,628","2,838","2,733","1,118","1,118","1,163"
"267","Subaru Ascent","4,582","4,406","5,794","5,965","6,505","5,889","4,281","4,860","4,599","4,374","4,292","4,996"
"268","Subaru BRZ","332","368","285","507","638","382","311","268","270","291","263","273"
