"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2023-10","4.13","IRS.M.CY.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","3.70","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","3.91","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","3.88","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","3.83","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","3.81","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-08","3.85","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-09","3.88","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-11","3.98","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-12","3.49","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-02","3.68","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-06","3.79","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-10","4.14","IRS.M.LV.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-08","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-09","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-11","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-12","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-02","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-06","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-10","2.88","IRS.M.LT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","2.70","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","2.99","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","2.96","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","2.95","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","3.03","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-08","3.08","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-09","3.16","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-11","3.03","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-12","2.53","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-02","2.89","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-06","2.95","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-10","3.32","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","3.55","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","3.58","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","3.60","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","3.64","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","3.78","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-08","3.79","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-09","3.93","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-11","3.86","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-12","3.31","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-02","3.61","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-06","3.68","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-10","4.18","IRS.M.MT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","2.50","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","2.76","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","2.72","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","2.73","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","2.84","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-08","2.92","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-09","3.04","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-11","2.95","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-12","2.42","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-02","2.68","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-06","2.75","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-10","3.21","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-01","2.81","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-03","3.06","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-04","3.03","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-05","3.03","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2023-07","3.12","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
