"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2000-06","5.31","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.38","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.54","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","6.06","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.53","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.13","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.39","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.32","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.43","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.19","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.67","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.45","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-06","5.51","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.60","IRS.M.AT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.40","IRS.M.NL.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.57","IRS.M.LU.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.61","IRS.M.PT.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","6.08","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.60","IRS.M.BE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.31","IRS.M.SE.L.L40.CI.0000.SEK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.48","IRS.M.FI.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.40","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.52","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.27","IRS.M.DE.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.76","IRS.M.DK.L.L40.CI.0000.DKK.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
"2000-07","5.53","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","Harmonised long-term interest rates for convergence assessment purposes","","A"
